text,task_1
ऐसे जानवर हर दूसरे घर में भरे पड़े हैं सख्त अफ़सोस की बात हैसब वाकिफ़ हैं पर सब भुला दिया जाएगा चंद पलों में जैसे स्त्री मनुष्य ही ना हो उसकी इज्‍जत सम्मान भावनाओं का कोई मोल ही ना हो हद है क्या वहां कोई भी ऐसा पुरुष नहीं था कि अपना जूता प्रयोग कर पाता,0
क्या गाजि़याबाद पुलिस इस अज्ञानी मुर्ख नरसिम्हानंद सरस्वती को गिरफ्तार नही कर सकतीक्या गाजि़याबाद पुलिस पर किसी का दबाव है क्या जो अबतक इस नरसिम्हानंद सरस्वती को गिरफ्तार नही किया गया देश के हर शहर से इस नरसिम्हानंद सरस्वती के खिलाफ fir हुयी फिर भी इसे गिरफ्तार नही किया गया:enraged_face: ,0
भाड़ में जाओ तुम प्यारी,1
जो शहाबुद्दीन के साथ हुआ वो आज़म खान के साथ नहीं होना चाहिए इसलिए आइए हम सब आवाज उठाते हैं ,1
  ुरानीपेंशनबहालकरो     ारतछोड़ो  िजीकरणभारतछोड़ो ्मचारीकाअधिकार िजीकरणकेख़िलाफ़इंक़लाब ्वास्थ्यक्षेत्रमेबजटबढ़ाओ  ो ,1
मोदी विरोधियों को बंगाल की हिंसा में भी लोकतंत्र नज़र आ रहा है इसलिए सब के सब मुँह में दही जमाये बैठे हैं असहिष्णुतासंविधान की हत्या जैसे शब्द अब डिक्सनरी से गायब हैं ,1
इस देश में आतंकी की लाश उसके घर वालों को मिल सकती है दलालों की लाशे उसके घर मिल सकती है पर यहां खत्म होने के बाद भी आखिरी rusumaat नहीं कर सकते:enraged_face::angry_face: लानत हो ऐसी सरकार पे खुदा गारत करें निकम्मी सरकार को ,0
भाजपा की केंद्र मे पूर्ण बहुत की सरकार है बंगाल में  सांसद और करीब  विधायक है फिर भी उस दल का राष्ट्रीय अध्यक्ष धरने पर है ये ऑस्कर वाले कहाँ मर गये नड्डा जी को अवार्ड क्यों नहीं दे रहे हैं ,0
यह भेंस चोर दुसरो को अपना बाप बनाकर अपनी नाजायजी क्यु प्रस्तुत कर रहे हैं ओर साथ में ट्विटर पर अपनी नेशनल ओर इंटरनेशनल बेइज्जती करवाने से बाज़ नहीं आते ,0
बंगाल में ममता रंडी की सरकार है सारे मुल्ले इसके भड़वे बन गया है आसाम का बदला बंगाल में ले रही है ममता रंडी बंगाल का बदला भाजपा शासित राज्यों में ले हिन्दू दूसरा कोई रास्ता नहीं है अन्यथा हिन्दुओं को अपनी इज्जत की नीलामी खुद अपनी ऑंखों के सामने देखना पड़ेगा ,0
 भारत की मदद को बढ़े हाथ जर्मनी से आए  क्रायोजेनिक ऑक्सीजन कंटेनर       ,1
लालु जैसे बाल्टी में दूध बेचने वाले नेता तब बनते हैं जब उनके पीछे शहाबुद्दीन जैसा शेर होता है:fire: ,1
शहाबुद्दीन साहब की मौत की गई है ना की उसको covid:microbe::face_with_medical_mask: था ,1
तो आप ट्वीट करने के अलावा और कर भी क्या रहे हैं  ,0
बस आपकी अति कृपया होगी मुझे ये बताइए line man  और जैई  क्या ये मौज करने के लिए है नम्बर बंद करो और आराम से सो जाओ पब्लिक भाड़ में जाए,1
कनाडा में एक मुस्लिम परिवार के  फ़र्द को रौंदकर क़त्ल करने वाला आतंकवादी यहूदी है यक़ीन जानिये अगर ये क़त्ल करने वाला मुस्लिम होता और मक़तूल फ़ैमिली ग़ैरमुस्लिम होती तो दुनिया की इस्लामोफोबिक मीडिया अबतक इस्लामिक आतंकवाद का रंडीरोना रो रही होती ,0
रायगड और मेवाड़ भी धरना देते यो क्या होता हमारा  ,1
मैं किसके हाँथ में अपना लहू तलाश करूँ की तमाम शहर ने पहने हुए हैं दस्ताने ,1
ये बंगाल की cm ममता बनर्जी नही हैये terror की आका डायन है:ogre:जो बंगाल मे tmc पार्टी के आतंकवादी जिहादीयोंसे बलात्कारखुनखराबा बंमबारी कराती है         ,0
आज़म खान साहब का इलाज aiims में कराया जाए… शहाबुद्दीन साहब की तरह उन्हें सिस्टम भरोसे नही छोड़ सकते:crying_face::folded_hands: ,1
जैसे ढोंगी और गुंडे लोग ज्यादा खतरा है समाज के लिए ऐसे कमीने लोग सत्ता में बने रहने के लिए किसी भी सीमा तक जा सकते है,0
g नेटवर्क चीन का नहीं आ रहा है पूर्ण स्वदेशी jio ला रहा है इसलिए चिन की दलाल अपने इटालियन भाभी जी के जरिए अफवाह फैला रहें हैं  g से चिड़िया मर रही है मच्छर क्यों नही मर रहे  रोज़ खून पी रहे है ट्विटर के चमचों जवाब दो ,0
common rss cadre from north india on   धरना के बाद चरखा भी ट्राई करो कहते है अंग्रेज डर कर भाग गये थे :sad_but_relieved_face::sad_but_relieved_face: ,1
महारानी कहकर पुकारो तो कहेगी और कितनी रानियाँ रखे हो रानी कहकर पुकारो तो कहेगी मै रानी तो महारानी कोई बाहरवाली होगी चुप रहो तो कहेगी जैसे मुंह सिला होआप ही बताओ क्या कहूं :grinning_face_with_big_eyes::grinning_face_with_big_eyes:,1
ये जो मासूम हिन्दुओं की चिताएं जल रही हैं और अर्थीयो का अपमान हो रहा है ये सब राजनैतिक धर्मान्धता और गलत नेताओं की गुलामी का इनाम है         ,0
इसके फ्री के चाटुकारों व देश के गद्दारों की वज़ह इसका रंडी रोना चल रहा है वरना यह तो जिसमें कुत्ता खाये उसमें खिलाने लायक है दोगला महाझूठा :enraged_face:,0
तुम चुप रहो भाईजान तुम्हे क्या है न तुम कानून के न संविधान के तुम्हारे भाई बंध इसी tax के पैसे से   बच्चे खिला पिला रहे और योगदान ,0
चुनावी हिंसा पर धरना देने वालों ऑक्सिजन की कमी और कोरोना से हो रही मौतों पर भी धरना दे दो हिन्दू तो इसमें भी खतरे में है हिंदू तो यहाँ भी मर रहा है बस politics ही करनी है ऐसा बोलो ना लेकिन शर्म इनको आती नहीं   ,1
बिलकुल सही अंकल जी देखकर ही गुस्सा आता है जब ये विश्लेषक की तरह नही एक दलाल की तरह बात करता है,0
   resign modi लोगो के मरने से डर नही लगता सत्ता जाने से लगता है ,0
क्या कोरोना की तीसरी लहर का असर बच्चों पर होगा    ,1
टीकाकरण अवश्य करायें     ,1
why you are giving us so much attention if we r fake farmers  ेशऑक्सीजनमांगताहै  ,1
हक की आवाज को मजबूत कीजिए एक बार फिर से लिखिए ,1
कुत्ता वफ़ादार होता हैं मैडम,1
  ुरानीपेंशनबहालकरो     ारतछोड़ो  िजीकरणभारतछोड़ो ्मचारीकाअधिकार िजीकरणकेख़िलाफ़इंक़लाब ्वास्थ्यक्षेत्रमेबजटबढ़ाओ  ो ,1
शहाबुद्दीन साहब इकलौता सांसद जिन्होंने कारगिल युद्ध में पाकिस्तान के खिलाफ लड़ने की अनुमति मांगा थी तुम उस वक्त बकरी चोरी और साइकिल चोरी में व्यस्त थे देश और देश की आन बान शान के लिए कई किस्ते दे चुके हैं हम अपने खून की :sad_but_relieved_face::sad_but_relieved_face:  ,1
लालू की रिहाई की कीमत शहाबुद्दीन साहब की जान से चुकाई गयी है rjd की खामोशी इस बात की गवाह है tejashwi yadav दिल्ली में होने के बावजूद हॉस्पिटल नही पहुँच सकें ये वक़्त भुला नही जाएगा इमरान भाई अमानतुल्लाह खान आपको सलाम  ,0
लोग मर रहें हैं ंगालहिंसा में  और ये धरना दे रहे हैं एयर कंडिशन्ड हाल के अंदर  हद्द हरामखोरी है  कोई क्यों करें इन पर विश्वास    ,0
 डेड बॉडी देने में किसी भी तरह की कोई दलाली नहीं होनी चाहिए ये ैक्ट लॉजिक वाला फैक्ट है जैसे ाना की बॉडी को उसके गांव भेज दिया गया तो ाबुद्दीन की बॉडी को िल्ली में क्यों दफनाया गया उनके गांव क्यों नहीं भेजा गया  ,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
सिद्ध कर दिया अग्रेंजो की नाजायज औलाद कौन है हिन्दी व हिन्दुस्तान पर हमे गर्व है,0
व्हाट्सएप पर यह वीडियो प्राप्त हुआ कहां का है यह पता नहीं चल पाया वीडियो देखकर दिल दहल गया सड़क के एक किनारे पर बैठी गोवंश को इस तरह ट्रैक्टर ट्रॉली से कुचला इस सुअर ने :enraged_face: ,0
सीताराम येचुरी ने पीएम मोदी से पूछा लोग मर रहे हैं लेकिन नई संसद का निर्माण क्यों जारी है          ,1
दिल्ली कर्मचारियों का मजाक बनाया जा रहा है जबकि बिजली कर्मी दिनरात अपनी सेवाएं दे रहे हैं गलत रूप से अवैध रूप से पुलिस के द्वारा नेताओं के दबाव से गलत एफ आई आर की गई इसे तत्काल वापस लिया जाए एवं दोषियों पर कार्रवाई की जाए ,1
जीतने पे ये हाल है जरा सोचो अगर हारी होती तो क्या होता    ,1
ज़िंदगी के रथ में लगाम बहुत हैंअपनों के अपनों पर इल्ज़ाम बहुत हैंये शिकायतों का दौर देखते हैं तो थम से जाते हैंलगता है उम्र कम है और इम्तिहान बहुत हैं         ,1
झूठ से पैदा हुआ है ये लणैन्द्र मोदी  जिसकी मां की गारेंटी तो पर बाप की कोई गारेंटी नही ,0
ना तुम कल हारे थे ना आज हारे हो  ,1
रंगा बिल्ला के खिलाफ लिखने पर ट्विटर भी नाराज चल रहा है आजकलl रोज  फॉलोअर्स कम कर रहा हैl   ,1
कहते है मरते है तु मरने दो  मुर्दा लोग शोर करने से कहाँ जिंदा होया करते है साहब शोर जिंदा लोगों को बचाने के लिये हैपर आप क्या जाने जो जिंदा लोगों को भी मुर्दा समझ के छोड़ दिया करतेसाहब को तू जुमला कहने की आदत हैमुर्दा घर में भी इन लाशों के लिए जगह कहाँ है:folded_hands:,1
मेरी ही गलती है मै वैश्या पुत्र के मुंह लग गया ,0
 तेरा नर्क बनते लोग यही देखेंगे बूढे लाचार और बच्चों पर अत्याचार तुझे नष्ट कर देगा   ,0
ांसदलापताहै      ,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
सुना है ये मादरनीय d k bose के एंकर हैं ट्विटर पर हैं क्या   ,1
थोड़ा और कोशिश करे ,1
इस राजनीति को देख कर मुझे इन लोगों पर गुस्सा भी आता है और दया भी आती है अपना क्या हाल कर लिया है इन लोगों ने अंधी राजनीति अंधी नफरत और अंधी कुर्सी दौड़ में ये कभी के क्रान्तिकारी अब हास्यास्पद विदूषक हो गए हैं  ,1
बंगाल की विधवा    ीनसेलड़ो ेशकेदुश्मनकीदुश्मन      ,1
धवन मदरचोद ज़िंदा है मर गया :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:,0
जादवपुर के बीजेपी उम्मीदवार रिंकू नस्कर के घर पर टीएमसी के गुंडों ने किया हमला   ,0
रोहित सरदाना कोरोना पॉजिटिव क्रियाकर्म कुरुक्षेत्र हरियाणा शाहबुद्दीन साहब कोरोना नेगेटिव दफन हुए ito दिल्ली  आखिर क्यों      ,1
कुत्ता हरामज़ादा कहीं का,0
अब भी अगर कोई मुस्लिम नेता बिहार में my का रागा अलापता है तो वह मुसलमानों का नेता नहीं दलाल है  ,1
शहाबुद्दीन को इन्साफ दो ुप्रीमकोर्ट    ,1
 सांसद इसीलिए आपको दिया गया है कि आप घर मे बैठे रहें और आपके कार्यकर्ता अपना जान दें   ,1
 में कोई कार्यकर्ता जब पूछ बैठेगा ख़ामोशी का कारण तुमसे बहुत समझाना चाहोगे मगर समझा ना पाओगे    ,1
चुनाव में लाखों की भीड ओर धरना vvip आज जरूरत है ऑक्सीजन व ईलाज की ओर ये जनता को भडका रहे हैंभाजपा हैं दंगा पार्टी         ,0
हमारे उम्मीदवार का यह दुर्दशा किया है टोलाबाज गुंडों ने   ,0
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
जातियों के कमरे में मत छिप मूर्ख बाहर आकर देख हिन्दुत्व का ब्रांड बनकर जीने का मजा ही कुछ और है :triangular_flag:जय श्री राम:triangular_flag: ,1
देश के गद्दार हरामी दोगलो के कारनामे ,0
योगी जी इस bsdk वाले की सुरक्षा मे दो राफेल जहाज लगाओ बाकी हमे पता है इसकी शकल देखकर कोई कुतिया भी नहीं मूतेगी :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: ,0
once in a century ुसमोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  मानवता केलिऐ  देशभक्त हो तो,1
चाटुकार भौकता रह bsdk बांग्लादेश की आबादी देख वहां तेरे जैसे चुटिया को बोलना भी मना हे बांग्लादेश का परतर करता हैं लोली वैक्सिन वैक्सिन चिल्लाता रहा और पप्पू ने राजस्थान ने लाख वैक्सिन खराब कर दी उस्प्पर भी कुछ बोल,0
बेटा संघी देश के अजादी में तुमलोगो का कोई हाथ नही है बे अंग्रेजो का दलाली करने वाले लोग आज 𝓣𝔀𝓲𝓽𝓽𝓮𝓻 पे रो रहे हैं  संघी को छोड़ कर सभी हिन्दू मुस्लिम सीख ईसाई सभी का अहम रोल है था  तेरे जैसै संघी गांडू चुप चाप रहो बे लौड़े 𝓦𝓱𝓪𝓽𝓼𝓪𝓹𝓹 𝓤𝓷𝓲𝓿𝓮𝓻𝓬𝓲𝓽𝔂 वाले,0
आज हमारे साथ rjd का एक भी नेता खड़ा नहीं दिख रहा पहले हमारी लड़ाई rssbjp से थी अब rjd से भी हैं ,1
दो मिनट का मौन ऊन हरामखोरो के लिए भी जिनको बंगाल में चुनावी रैली दिखी मोदी की सारी गलतिया दिखी कोरोना भी दिखा किन्तु अब tmc के गुंडो द्वारा हिंसा लूट आगजनि और बलात्कार नहीं दिख रहा  ,0
मोदी ने देश का बंटाधार कर रखा है अगर कुछ कर नहीं सकते तो कुर्सी छोर क्यूँ नहीं देते    ,0
:wilted_flower: हरि ॐ:wilted_flower:  सनातनी भाईबहनों को :wilted_flower: शुभ रात्रि:wilted_flower:  दुष्ट अपकार से नहीं उपकार से ही शांत रहता है :triangular_flag: जय श्री राम:folded_hands::triangular_flag:,1
ये क्या हो रहा है कितने कमीने हो आप इतना कमीनापन लाते कहां से हो मौलानाचार्य ,0
bjp dharna  भाई मत ही करते कम से कम शर्म नही आती   ,0
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
बताना नही है देश को  कुछ कर के दिखाओ धरने से tv पर चीखने से कुछ न होगा सीधे बंगाल जाओ जो महिलाओं पर अत्याचार का vdo पोस्ट किए थे उनके साथ खड़े हो नही तो वोट भी इस बार ट्विटरtv पर ही डाल देंगे शर्म करो वहां कार्यकर्ता मर रहे हैं यहाँ tv पर डिबेट कर रहे हो ,1
शक्ल से नाजायज़ की औलाद है,0
ज़ालिम को जो ना रोक वो शामिल है ज़ुल्म में क़ातिल को जो ना टोके वो क़ातिल के साथ है साहिर लुधियानवी ंगाल    ,1
सरकार नरसंहार कर रही है  ,1
मोदी ही पप्पू है और नेशनल ही नहीं ग्लोबल है ेंद्रमोदीग्लोबलपप्पू   ,0
सवाल यह है जब शहाबुद्दीन साहब के साथ उस तरह की घटना हुई और ओसामा शहाब अकेले हर जगह अपने पिता की लड़ाई लड़ रहा था उस समय लालू परिवार का कोई व्यक्ति उनके साथ खड़ा क्यों नहीं हुआ ,1
तुम तो चुप ही रहो सिम्वाव जी :rolling_on_the_floor_laughing::grinning_face: ,1
शुक्रिया इमरान प्रताप गढ़ी साहेब शुक्रिया अमनातुल्लह साहेब  इस दुख की घड़ी में ओसामा शहाब का साथ देने के लिए साथ खड़े होने के लिएउन लोगों का भी बहुत शुक्रिया जो दिल्ली में ओसामा भाई के साथ खड़े हुए बिहार इस बात को याद रखेगा ,1
पहले लगता था ही  है अब पता लगा ये तो सारे के सारे bjp वाले  हैं    ,1
हार जीत तो ठीक है मज़े की बात ये है साहब का बांग्लादेश के लिए आंदोलन कर जेल जाना बेकार हो गया :winking_face_with_tongue::see-no-evil_monkey: ,1
तुम जैसे स्वमं भू प्रदेश अध्यक्ष के रहते ये सब सम्भव है अपनी नौकरी बचाये जैसे  साल से मुँह में दही जमाये चुप थे वैसे ही रहो शिक्षको के चंदे पर पलने बाले तुम्हारे जैसे नेता घिन आती है तुम जैसे को नेता कहते भी शर्म है नही तुम्हे एमएलसी के टिकट तो तुम पता नही क्या  बेंच दो :face_with_tears_of_joy::face_with_tears_of_joy: ,1
एक्टर शूटिंग करें नेताजी रैलियां करें खिलाड़ी ipl खेलें और आम आदमी भूखे घर बैठकर कोरोना को भगाए   ,1
सवाल यह नही कि वो मुझे वेश्या कहता है सवाल तो यह है कि मुझे वेश्या बनाया किसने  ◆नवनीत:sunflower:,1
अजीत सिंह के लिए आप का शोक व्यक्त करना बिल्कुल सही है लेकिन बंगाल में जो मासूम भाजपा कार्यकर्ता मारे जा रहे हैं बेटियों का बलात्कार हो रहा है क्या उस पर आपको कुछ नहीं बोलना चाहिए कृपया करके उन मासूमों के आंसू को पूछने का प्रयास कीजिए ,1
तो मुल्ले ये बता शराब पीना भी तो हमारा अधिकार है और सुअर खाना भी लहौल लौड़ा कुवात्,0
अबे चमचे सूअर भाजपा में ज्यादा नेता कांग्रेस के ही हैं या दूसरी पार्टी के,0
 साहेब जनसंख्या नियंत्रण कानून ही लगा देते आपका मिशन भी पूरा हो जाता ऐसे लोगो को तड़पा तड़पा कर मार कर क्यों लोगो का घर उजाड़ रहे हो       ,1
मैने भी इसी तरह कल अपने  साल उम्र की दादी को को दिया कितने अस्पतालों में कोई सुविधा नहीं है सरकार ने सबको अपने भरोसे छोड़ दिया  ,1
कभी किसी ने कोरोना वायरस के लिए को चाइना को दोषी बताते हुए सुना है  नही न  राहुल गांधी देश में वायरस से लड़ने वाली वैक्सीन बनाने वाली कम्पनियों को टार्गेट करते ही सबने देखा  ये कमीना चाइना का दलाल है  ,0
शेर ने जंगल मे सभी जानवरों को मुफ्त दावत देने की घोषणा की सभी जानवरों ने जमकर दावत का लुफ्त उठाया और घर जाकर सो गये अगले दिन सभी जानवरों की गिनती की गयी गिनती में आधे जानवर गायब निकले बाद में पता चला जंगल के आधे जानवरों को शेर दावत में पकाकर मुफ्त खिला चुका है ुफ्तवैक्सीन,1
अनिवार्य एफ आई आर सरकार का बेहतर व साहसिक निर्णयसिविल सोसायटी अपराध और भय से मुक्त रहे वही आदर्श शासन है बजरी के अवैध खनन पर लगाम के लिए जनसहयोग से अदृश्य अनैतिक गठजोड़ों और नेटवर्क को सार्वजानिक रूप से बेनकाब का विशेष अभियान चलेसिविल दावों की आड़ में जमीनों के अपराध न चले,0
 ीजेपी go back in cllab जिंदाबाद,1
शुक्रिया साहब  ,1
दो मिनट का मौन उनके लिए भी जिनको बंगाल में चुनावी रैली दिखी  कोरोना दिखा किन्तु अब हिंसा  लूट अग्निकांड और महिलाओं को लुटती इज़्ज़त नहीं दिख रहीं :enraged_face::enraged_face:     ,1
पलायन नही प्रतिगात करो सुनो द्रोपदी शस्त्र उठा लो अब गोविंद ना आएंगे ,1
बंगाल के हालात देख कर आमिर ख़ान जावेद अख़्तर नसीर उद्दीन शाह इत्यादि को अब भारत में डर नहीं लग रहा क्योंकि मरने वाला सुअर नहीं इंसान है    ,1
