text,label
this just show what a twat southgate is henderson been injured still not confident on his fitness yet jwp ha not missed a single minute of the season doe not get picked no interest in watching the euro at all,0
see how the foreign donation is changed from pm care to other source ex pat cumin other country can see it still the andh bhakts canot modi is ruining our country resignmodi,0
is this is what my new india look just speechless helpless no expectation from the d grade villain who is ruling the country shameful act going on from the most corrupted and shameless person who are governing the country resignpmodi,0
that son of a bitch promotes agglomeration refused different vaccine that would be used in brazil call those who are in the donkey quarantine and on top of that spent our money of our tax to buy meat and make a barbecue with his family,0
week and counting stop playing petty politics resignpmodi,0
it is deployed at many place bcoz tmc goon are looting vandalising and raping bjp worker and their family even itbp is getting deployed meanwhile state police is not even writing fir shameonmamata mamtaisterorist bengalburning tmc,0
another reason to continue hating dhruv rathe bengalburning,1
ok what did you do to piss off the universe,0
box of joke time my mom never saw the irony in calling me sonofabitch box ha and ha and ha,0
where are you guy who supported mamta canot you see violence on bjp karyakartas now why your mouth is shut why canot you speak against her never forget if they are the victim todaynext may be you or your family shameontmc bengalburning openyoureyes bengalviolenc,0
gay gay gay trans gay trans gay gay trans trans gay little trans bitch gay gay homo homo that is me the woman enjoyer wowowowow wawawewa mfw gay,0
why canot indian medium have such a reporting everyone wasting their time on pointless issue it is time make people accountable for their deed resignpmodi,0
these truly strain credulity what folk are actually worried about is that the covidvacine effort is evidence of how effectively direct public funding can drive pharmaceutical innovation and could be used far more widely ip wa not the key in this pandemic context,1
the situation in india is very bad and need your help in india there is no oxygen not remdashivr injection helpindia indiacovidcrisis india oxygenconcentrator covidindia covidemergency oxygen covidsecondwaveinindia modikavacinejumla,1
drop the song you bastard,0
the cp virus came from a lab in wuhan china china is responsible for the spread of corona virus across the world it is a chinese virus fuck you china ckmkb chutadchineseparty cp chinese,0
the hashtag sum it all chinaliedpeopledied chinaliedmilionsdied chinesevirus wuhanvirus chinese gift for the world covid irony is that this b f gift is real and dang,0
it is a horrific health tragedy in india and despite being thousand of mile away many south asian are feeling it is effect around the world a covid surge low vaccination rate and overwhelmed hospital have contributed to a growing disaster indiacovidcrisis foldedhands,1
people dying without any medical treatment and oxygen is happening only in india shame modikavacinejumla,0
is anyone else uncomfortable with lisa nandy politicising the indiacovidcrisis in order to win electoral vote,1
the wrong interpretation of islam lead to islamophobia,1
shame on center even shame word will feel shame for comparing with modi resignmodi modimadedisaster,0
ah now i know why they lost that shitbag wa in the building i do not even want to know if imgrund and the rest of the paid domers were in attendance gee could not give your ticket to a lower wage nursepswstaf could ya dr unamusedface,0
bloody hell,0
so it is done then what a shitbag,0
the coolest motherfucker in the room smilingfacewithearteyes,0
that moment in the fucking when your finger is hooked up inside your lover pussy and you are all but lifting them off the bed by their gspot and they just keep cuming that is fun lota fun,0
the man who crowned bjp is stripping them naked now he reminds me of tyrion from got really sad to see him retire prashantkishor resignpmodi will love to see you in bihar election,0
none of the regional medium or national medium is showing this horrible inhuman incident why are we not talking about this why so much pin drop silence justiceforsaswati justiceforsaswatijana bengalisburning bengalviolence bengalburning,1
worse than nazi gas chamber resignmodi emergency covid relief is flooding delhi airport but where is it going next,1
sorry to hear you are having a tough enough time then some twat make it worserer i am sure that is a word stay strong andrea foldedhandsmediumskintone,0
he smiled hela hard when i told him what you just said mississippi pimp shit,0
lindsey graham is a total shitbag,0
lagos is oversaturated with car my god car and kekes and okadas everything zipping and horning and just creating a bloody cacophony there is especially a special place in hell for okadas that use horn meant for truck they wan make i ment for bariga that year,1
made a complete cock of himself equivalent to jedward and that wanker with the plastic shopping bag over his head,0
did you get the old bastard or the young gun,0
bjp ha failed the nation modi ha failed the nation biggest scam of history is pm care fund modikavacinejumla modimustresign modiresignorepeal modimadedisaster modigovtsenahopayega,0
fuck that must both hurt and piss you off so direspectful,0
morally bankrupt disgraceful boycotchina propaganda indiacovidcrisis boycothuawei boycotlenovo fretibet uyghurgenocide,1
period busy the house down sissy slay cunt boot pow,0
idiot who were suportin catleast nw you should hve understood dat giving citizenship to outsider when our own basic infra is insufficient for indian is such a huge mistake ca is done only for extra voter base nothing else ca exitmodi indianedoxygen indiacovidcrisis,0
ji you not only lost the election today you have lost lakh of honest follower like me shame on you for letting u all down for your petty politics power hope you learn and shine listen to expert and be a good man novotetomodi,0
kangana did a terrible mistake of pointing the mistake of supreme leader betrayal exposing gujarat cm is not acceptable in bjp resignmodi,0
tuckercarlson is a dangerous fool drsanjaygupta set the record straight about the covidvacine and tucker lie,0
farmlawsnextpandemic it is complete failure of indian govt people are dying in street they canot hide behind system they are responsible for this they have no right to stay in office farmlawsnextpandemic modikavacinejumla,0
trust meif i like you i will dm you hey six time then send dick pic before getting very impatient for you to love me itrademarks going to be beautiful,0
i am sorry ron sending redheart and healing energy indiacovidcrisis,1
he wa very quick not enough to get me to agy but i wouldtrademarkve yelled at his dumb as come on dick head with those dumb as dance do that stupid shit at your house or something you know keep it simple lol,0
false promise and utter lie you are failed indianpolitics noxygen indianedsoxygen indiacovidcrisis gujaratgovernment,0
history will always remember that modi made the entire country a cremation ground to win just one state he is a minister of only bjp party not a pm of india so resigned from the post of my country you are a murderer of lot of people resignpmodi,0
we need ethan winter to say it too,1
i still do not believe that the ipl will resume after a one week gap in a newly created bubble in mumbai it look like thing have gone too far now it may be a case of shifting the nd half to later in the year ipl iplsuspended indiacovidcrisis,1
cancelthboardexams resignpmodi because of your overconfidence and ignorance hundred of indian citizen are dying everyday and now you are ignoring lakh of student daily plea to cancel exam,0
horrible visuals the law in bengal ha failed bengal is also being made like kashmir we have to be cautious soon else it can happen to anyone pathetic situation in bengalbrokenheart bengalviolence bengalburning,1
how do the citizen make big corporation and government accountable for misusing their power in evil way and yet they continue and get away with all they do where doe this damn thing end canot citizen do anything justiceforsushantsinghrajput chinesevirus,1
itrademarkm not a troll pussy,0
is this a good done or a fuck off done,0
it is really easy to get out negative emotion but when you have an abundance of love and shit and have no direction for these emotion what kind of a negative impact doe it have on you to experience good emotion but have no direction for them,1
modikavacinejumla rahulgandhi ha not taken vaccination till now and is creating fear in people to step back to take vaccination be a responsible leader first,0
just recieved my second shot i am fully vaccinated screw you covid covid covidvacine,1
what a frustrating experience of covd vaccine when i see that available stock is then only i booked the slot after i reached the hospital there wa no vaccine available covidvacine,1
bastard you can tell him that,0
go go you are sitting on pile of body of innocent people who trusted you you are an embarrassment to the nation resignpmodi amitshah,0
dear world religion is like a penis it is fine to have one and fine to be proud of but please do not whip it out in public and start waving it around and please do not try to shove it down my throat sincerely tired of hearing your religious gufenragedface islamophobia sickularis,0
you son of a bitch,0
notably though the list doe not include jason miller hooker publisher jason may be going through some thing,0
at the back scum cunt right back and centre back balding fuck going out in the round of,0
i have come to make an announcement shadow the hedgehog is a bitch as motherfucker,0
why is johnson trying to make u all american the twat,0
i would better be chuya said playfully he leaned his head against them once again and shifted a little closer i would hate to bloody my knuckle on some background bastard getting too touchy with my fluffy,0
alright which fucker pqrted this,0
today cowboy report cutting a cb pfs jaylon smith trade idea the malik hooker situation explained watch,1
i have coworkers whose family and friend are sick and dying in india other offshore coworkers are sick themselves praying the international community doe the right thing to help india yes india covid crisis hurt everyone prayforindia indiacovidcrisis,1
damn i really wish i wa in a band again,1
you know that story of father son and donkey these liberal are like those villager in the story,0
resignmodi exitmodi resignpmodi modimadedisaster i am ashamed of my prime minister my country and it jurisdiction democracy of india and it is pillar i am also ashamed of myself breathing and others struggling to breathe,0
iono my head giver radar usually be on point if i think she can eat the dick i am usually corrected rolingontheflorlaughing,0
delhi is already struggling because of high pollution levelsthis is the reason why most people are suffering severely a their lung are already damaged due to polutionmodi is a disaster for india a he wa for gujaratresignmodi,0
agar me kisi apne ko kho du due to lack of medical bed and drug facility whom should i blame myself or my family or the failed government secondcovidwave indiacovidcrisis failedpmodi murdererpmodi,1
the government that canot manage defeat vaccine oxygen foreign aid pandemic ha no right to remain in power resignpmodi to save further loss of life,0
not supporting what is happening in bengal but where are you all canot you heard india screaming cry where are you people are dying but you all just lie big lie trademarktrademarktrademark tanashahi in india please resign,0
you are not only national but international embarrassment for country sake resignpmodi,0
cancelthboardexams resignpmodi because of your overconfidence and ignorance hundred of indian citizen are dying everyday and now you are ignoring lakh of student daily plea to cancel exam,0
life a bitch so i had to pimp it,0
why did not you claw her man dude she wa swatting me and pushing with her bare hand i wa not going to piss her off god know what she would do,0
bts will never fuck you i am a lesbian,0
we should be ashamed a indian millionaire is not a joke we canot even treat our industrialist properly adarponawala indiacovidcrisis indiansdyingmodienjoying,1
wa not richard branson the same wanker who sued the nh and now he want a say in how they run fucking insanity,0
heart wrenching to see people gasping for air left to themselves to die praying for the people of india indiacovidcrisis covidindia indiacovidcrisis,1
i tweeted this last night retweting this morning because it is simply so extraordinary and devastating a real time thread of an indian man trying to get oxygen for his loved one indiacovidcrisis,1
cmon twitter do your thing make this greedy twat so embarrassed he hate to go to a game again chicagofan,0
it is exhausting and give me a lot of anxiety indian in ireland on the covid horror back home indiacovidcrisis indiaireland ireland from,1
this is antislamic law this is against human right islamophobia in france,1
u had similar number of case per day still australian from america were allowed in why is this discrimination only for india you will put them in jail for yr if they travel to australia this is inhuman indiacovidcrisis,1
is it common for dj and artist to not get paid at an event charging a ticket cuz what the fuck,0
fuck that shit,0
highly disturbing video god have mercy please foldedhands covidsecondwaveinindia modikavacinejumla,1
is this your dept concentrate on your damn portfolio and do your job took you and your dept long enough to announce the extension after we retaliated have some shame resignmodi resignpmodi resignpmodi resi,0
i am waiting for mann ki bat what happened do not look in mood i am afraid to see such leadership in india i am afraid citizen of india will forget crore of money pouring in resign,1
aint that the bitch who a nanny,0
i think she know him i wish the son of a bitch would have a massive stroke but i also think hetrademarks very dangerous someone need to tell u what hetrademarks doing keep your friend close keep your enemy closer,0
who is responsible for oxygen andhbhakt electionmeting narendramodi modikavacinejumla modiresign farmlawsnextpandemic suspendsharjelusmni studentslivesmaters cancelthboardexams covidemergency do you agree with me redheart do not you agree with meclockwiseverticalarows,1
i am angry angry that i have lost too many friend colleague and their loved one over the last few week opines in indiacovidcrisis,1
after crippling whole world economy and killing million of people by their own bioweapon chinesevirus shameless chinese government showing off economy growth wuhanvirus shameless china,0
racist working for covid but this racist fascist narcist attitude tejasvi firing the minority totally idiot is yedaurapa became powerless in karnataka fascism banbjp resignmodi resignpmodi,0
this might piss off the homophobe in my town but i do not care because it pride month,0
endless stream of heartbreaking news what is delhi government doing still o issue remains cm should look into this source exitmodi resignmodi resignpmodi cancelthboardexams justiceforshahabudin adarponawala lockdown electionresult,0
always see the dumb bollock a a challenge,0
resignmodi immediately hand over to indian army soon a posible or else india is going to end due to failure of government,0
it is always a bitch screaming bloody murder,0
not enough character on twitter to add build back better boris wa it really that broke before both of you are useless only way to build back better is to see numpties like you off resignmodi resignjohnson,0
who is responsible for oxygen andhbhakt electionmeting narendramodi modikavacinejumla modiresign farmlawsnextpandemic suspendsharjelusmni studentslivesmaters cancelthboardexams covidemergency do you agree with me redheart do not you agree with meclockwiseverticalarows,1
people must understand not only they ruined our life this chinesevirus but national virus are head bent to defame the one hope we have that is it is china and his agent in india one should blame and not foldedhandslightskintone jai hind,1
i no i will be losing sleep over big pharma ceo stockholder being denied the ability to play god and make billion off of the sick dying enough of covidbilionaires profiting off the death of the poor wto biden covid covidindia covidvacine covidemergency,1
absolutely u is devastated medical infra crumbled v r talking about a superpwr n so wa brazil italy wa battered yet india is d only country who could not handle d chinesevirus pandemic n vulture like her r allowed prosper by sheer stupid leadership at helm expresionlesfacexpresionlesface,0
we do not want covid giver to help u in any way no thanks china chinesevirus cpvirus,1
a prime minister fails in doing his job and still canot fit in his positionwe all want him to resign and we regret for not listening this great peson modiresignorepeal resignpmodi resignmodi,1
what is wrong with you indiacovidcrisis covid,0
this is by far the worst disaster our and our parent generation have seen the worst including war earthquake tsunami riot gujrat riot may be even riot resignmodi modiresignorepeal,1
bjp is dangerous to the society resignpmodi,0
it came back with a vengeance though i watch that shit damn near daily dontrademarkt want to spoil but that finale had me on edge,0
usa citizen did all of you nobody gave a fuck about skin color while you were profiting out of latin american resource,0
i got a sticker when i got my covidvacine i stuck it on my calendar to memorialise it,1
alleged so now can flag it a fake video cc keep eye on this medium too alegedthis is insult to victim even medium partnering to whitewash the crime political terism bengalbu,0
biting my fingernail off thanks to conscience voter no i am never letting that go voting should be seen a a responsibility not something you do when it is convenient so many people have this right abrogated fuck you,0
would you please stay out of the black man of america business and worry about those ten of thousand of brown people dying of covid in the indiacovidcrisis have you no shame sir,0
yeah it wa right after he wa shit talking dream,0
depends i know a doctor who doe educational vids no issue with it if they are doing a public service or are just engaging in a constructive hobby good for them but if we were are talking more like dr oz he is an unethical shitbag,0
the photograph combination for this headline is pretty inappropriate and insensitive isntrademarkt it ipl indiacovidcrisis,1
such a incompetence and shame to our health minister resignsudhakar whole central and state government is filled up by fool resignpmodi resignyediyurapa resignsudhakar,0
impossible to contain the pandemic without mass vaccination indiacovidcrisis,1
it is hard to cope with how badly i want you to pee in my mouth and stretch your asshole,0
he always go to work in your house whenever your wife did not go to work and alone in house while the child are in school and you do not see anything wrong with it i hear say the dick is long and good chairman open your eye you work in a different city too,0
after killing half the world with wuhanvirus these moron now blaming u,0
you did it you crazy son of a bitch you did it firefox on mac ha finally caught up with and it now support the overscrolbounce effect from osx lion when scrolling over the edge although of course they are faking it so it feel slightly different,1
fuck this covidvacine shit it is unnecessary if you can avoid at all cost poison do not let them fool survial rate dontvacinate nyc covid vaccine pandemic,0
asalu meru edi sariga predict chesaru ani past loipudu idhi unpredictable avataniki bjpdestroyedindia bjpfailsindia you made election a priority when state people were struggling you do not deserve to be pmenough of this nonsense resignpmodi,1
why is nobody questioning chinese involvement in this pandemic those basarsa made the world suffer emotionally physically and financially through this with their man made virus never forgive chinesevirus wuhanlab wuhanvirus,0
modikavacinejumla why are you not listening to the scientist across the world who are giving you good adviceto improve the terrible pandemic situation in india lockdown india mass vaccinate drfauci,1
we lost hope in the government nowit wa the time when pm listened to the scientist for the strategy and now are the time when scientist are listening to pm pmodiresign resignpmodi,0
